TEXT;ES;EN
¡{2} de {1} no puede bajar más!;¡{2} de {1} no puede bajar más!;{2} of {1} can't go any lower!
¡{2} de {1} ha disminuido!;¡{2} de {1} ha disminuido!;{1}'s {2} decreased!
¡{2} de {1} ha disminuido mucho!;¡{2} de {1} ha disminuido mucho!;{1}'s {2} sharply decreased!
¡{2} de {1} ha disminuido muchísimo!;¡{2} de {1} ha disminuido muchísimo!;{1}'s {2} harshly decreased!
¡{2} de {1} ha disminuido su {3}!;¡{2} de {1} ha disminuido su {3}!;{1}'s {3} {2} decreased!
¡{2} de {1} ha disminuido mucho su {3}!;¡{2} de {1} ha disminuido mucho su {3}!;{1}'s {3} {2} sharply decreased!
¡{2} de {1} ha disminuido muchísimo su {3}!;¡{2} de {1} ha disminuido muchísimo su {3}!;{1}'s {3} {2} harshly decreased!
¡{2} de {1} ha disminuido {4} de {3}!;¡{2} de {1} ha disminuido {4} de {3}!;{2} of {1} decreased {3}'s {4}!
¡{2} de {1} ha disminuido mucho {4} de {3}!;¡{2} de {1} ha disminuido mucho {4} de {3}!;{2} of {1} sharply decreased {3}'s {4}!
¡{2} de {1} ha disminuido muchísimo {4} de {3}!;¡{2} de {1} ha disminuido muchísimo {4} de {3}!;{2} of {1} harshly decreased {3}'s {4}!
¡Los efectos de la Neblina han protegido a {1}!;¡Los efectos de la Neblina han protegido a {1}!;The effects of Mist protected {1}!
¡Los efectos de Neblina han protegido a {1} de {2} de {3}!;¡Los efectos de Neblina han protegido a {1} de {2} de {3}!;The effects of Mist protected {1} from {2} of {3}!
¡Los efectos de {2} han protegido a {1} de {4} de {3};¡Los efectos de {2} han protegido a {1} de {4} de {3};The effects of {2} protected {1} from {4} of {3}
¡Los efectos de {3} de {2} han protegido a {1} de {5} de {4};¡Los efectos de {3} de {2} han protegido a {1} de {5} de {4};The effects of {3} of {2} protected {1} from {5} of {4}
¡El sustituto recibe el daño en lugar de {1}!;¡El sustituto recibe el daño en lugar de {1}!;The substitute took the damage for {1}!
¡El sustituto de {1} le protegió de {3} de {2}!;¡El sustituto de {1} le protegió de {3} de {2}!;{1}'s Substitute protected it from {3} of {2}!
¡{2} de {1} evitó que bajara su {3}!;¡{2} de {1} evitó que bajara su {3}!;{2} of {1} prevented {3} from lowering!
El gas reactivo se ha disipado;El gas reactivo se ha disipado;The reactive gas has dissipated
¡La habilidad de {1} está protegida por el efecto de su Escudo Habilidad!;¡La habilidad de {1} está protegida por el efecto de su Escudo Habilidad!;{1}'s ability is protected by the effect of its Ability Shield!
¡{1} ha copiado la habilidad {2} de {3}!;¡{1} ha copiado la habilidad {2} de {3}!;{1} copied {2}'s {3}!
¡La {1} de {2} se ha desvanecido!;¡La {1} de {2} se ha desvanecido!;{1}'s {2} faded!
¡{1} de {2} ha hecho {3} poco efectivo!;¡{1} de {2} ha hecho {3} poco efectivo!;{2} of {1} made {3} not very effective!
Los PS de {1} han sido restaurados.;Los PS de {1} han sido restaurados.;{1}'s HP was restored.
{1} de {2} ha restaurado sus PS.;{1} de {2} ha restaurado sus PS.;{2} of {1} restored its HP.
¡{1} le ha dado {2} a {3}!;¡{1} le ha dado {2} a {3}!;{1} gave {2} to {3}!
¡{1} de {2} le ha permitdo dar {3} a {4}!;¡{1} de {2} le ha permitdo dar {3} a {4}!;{2} of {1} allowed it to give {3} to {4}!
Los PS de {1} han sido restaurados;Los PS de {1} han sido restaurados;{1}'s HP was restored
¡{1} ha recobrado la salud gracias a la {2}!;¡{1} ha recobrado la salud gracias a la {2}!;{1} recovered health thanks to the {2}!
Los {1} PS han sido restaurados.;Los {1} PS han sido restaurados.;{1} HP were restored.
¡La furia de {1} está aumentando!;¡La furia de {1} está aumentando!;{1}'s rage is building!
¡{2} de {1} perdió todos sus PP debido a Rabia!;¡{2} de {1} perdió todos sus PP debido a Rabia!;{1}'s {2} lost all its PP due to Grudge!
¡{1} se llevó a su rival!;¡{1} se llevó a su rival!;{1} took down its foe!
¡{1} siente la fuerza de vuestro afecto!;¡{1} siente la fuerza de vuestro afecto!;{1} feels the strength of your affection!
¡{1} se convirtió en Greninja Ash!;¡{1} se convirtió en Greninja Ash!;{1} became Ash-Greninja!
¡{1} se despertó por el choque electrico!;¡{1} se despertó por el choque electrico!;{1} woke up from the electric shock!
¡{1} se calentó!;¡{1} se calentó!;{1} warmed up!
¡{1} no puede ser utilizado 2 veces seguidas!;¡{1} no puede ser utilizado 2 veces seguidas!;{1} cannot be used twice in a row!
¡El movimiento {2} de {1} está anulado!;¡El movimiento {2} de {1} está anulado!;{1}'s {2} is disabled!
¡{1} no puede usar {2} debido a los efectos de Anticura!;¡{1} no puede usar {2} debido a los efectos de Anticura!;{1} can't use {2} because of Heal Block!
¡{1} no puede usar {2} debido a la fuerza de la gravedad!;¡{1} no puede usar {2} debido a la fuerza de la gravedad!;{1} can't use {2} because of gravity!
¡{1} no puede usar {2} debido a los efectos de Golpe Mordaza!;¡{1} no puede usar {2} debido a los efectos de Golpe Mordaza!;{1} can't use {2} because of Throat Chop!
¡A causa de la {1} solo se puede usar {2}!;¡A causa de la {1} solo se puede usar {2}!;Because of the {1}, only {2} can be used!
¡{1} solo puede usar {2}!;¡{1} solo puede usar {2}!;{1} can only use {2}!
¡{1} no puede usar {2} debido a Mofa!;¡{1} no puede usar {2} debido a Mofa!;{1} can't use {2} because of Taunt!
¡{1} no puede usar un movimiento dos veces seguidas debido a Tormento!;¡{1} no puede usar un movimiento dos veces seguidas debido a Tormento!;{1} can't use a move twice in a row because of Torment!
¡{1} no puede usar {2} debido a Sellar!;¡{1} no puede usar {2} debido a Sellar!;{1} can't use {2} because of Imprison!
¡El efecto de {1} impide la ejecución de movimientos de estado!;¡El efecto de {1} impide la ejecución de movimientos de estado!;The effect of {1} prevents status moves!
¡{1} hace caso omiso de las órdenes y sigue durmiendo!;¡{1} hace caso omiso de las órdenes y sigue durmiendo!;{1} ignores orders and keeps sleeping!
¡{1} hace caso omiso de las órdenes!;¡{1} hace caso omiso de las órdenes!;{1} ignores orders!
¡{1} ha decidido echarse una siesta!;¡{1} ha decidido echarse una siesta!;{1} decided to take a nap!
¡{1} no quiere obedecer! ¡Está tan confuso que se ha herido a sí mismo!;¡{1} no quiere obedecer! ¡Está tan confuso que se ha herido a sí mismo!;{1} won't obey! It hurt itself in confusion!
¡{1} no quiere obedecer!;¡{1} no quiere obedecer!;{1} won't obey!
¡{1} te da la espalda!;¡{1} te da la espalda!;{1} turned away!
¡{1} está holgazaneando!;¡{1} está holgazaneando!;{1} is loafing around!
¡{1} se hace el tonto!;¡{1} se hace el tonto!;{1} is fooling around!
¡{1} necesita recuperarse de su ataque!;¡{1} necesita recuperarse de su ataque!;{1} needs to recover from its attack!
¡{1} parece incapaz de usar su poder!;¡{1} parece incapaz de usar su poder!;{1} seems incapable of using its power!
¡{1} se ha amedrentado y no puede lanzar ningún ataque!;¡{1} se ha amedrentado y no puede lanzar ningún ataque!;{1} flinched and couldn't move!
¡{1} ya no está confuso.;¡{1} ya no está confuso.;{1} is no longer confused.
¡{1} está confuso!;¡{1} está confuso!;{1} is confused!
¡Está tan confuso que se ha herido a sí mismo!;¡Está tan confuso que se ha herido a sí mismo!;It hurt itself in confusion!
¡El campo psíquico ha protegido a {1}!;¡El campo psíquico ha protegido a {1}!;The psychic terrain protected {1}!
¡Truco Fuerza protege a {1}!;¡Truco Fuerza protege a {1}!;Crafty Shield protects {1}!
¡Vasta Guardia protege a {1}!;¡Vasta Guardia protege a {1}!;Wide Guard protects {1}!
¡Anticipo protege a {1}!;¡Anticipo protege a {1}!;Quick Guard protects {1}!
¡{1} se ha protegido!;¡{1} se ha protegido!;{1} protected itself!
¡{1} se ha herido!;¡{1} se ha herido!;{1} was hurt!
¡{1} fue bloqueado por el tatami!;¡{1} fue bloqueado por el tatami!;{1} was blocked by the tatami!
¡{1} ha evitado el ataque!;¡{1} ha evitado el ataque!;{1} avoided the attack!
¡{1} ha evitado el ataque con {2}!;¡{1} ha evitado el ataque con {2}!;{1} avoided the attack with {2}!
¡{1} es inmune a los movimientos de tipo Tierra gracias a {2}!!;¡{1} es inmune a los movimientos de tipo Tierra gracias a {2}!!;{1} is immune to Ground-type moves thanks to {2}!
¡{1} es inmune a los movimientos de tipo Tierra gracias a Levitón!;¡{1} es inmune a los movimientos de tipo Tierra gracias a Levitón!;{1} is immune to Ground-type moves thanks to Magnet Rise!
¡{1} es inmune a los movimientos de tipo Tierra gracias a Telequinesis!;¡{1} es inmune a los movimientos de tipo Tierra gracias a Telequinesis!;{1} is immune to Ground-type moves thanks to Telekinesis!
No afecta a {1} debido a {2}.;No afecta a {1} debido a {2}.;It doesn't affect {1} due to {2}.
¡{1} ha huido del combate!;¡{1} ha huido del combate!;{1} fled from battle!
¡{1} se ha desplazado!;¡{1} se ha desplazado!;{1} shifted!
¡El cansancio ha terminado confundiendo a {1}!;¡El cansancio ha terminado confundiendo a {1}!;The fatigue has confused {1}!
¡{1} ha robado el movimiento de {2}!;¡{1} ha robado el movimiento de {2}!;{1} stole {2}'s move!
¡{1} derritió el hielo!;¡{1} derritió el hielo!;{1} melted the ice!
¡El polvo ha reaccionado con el movimiento y ha explotado!;¡El polvo ha reaccionado con el movimiento y ha explotado!;The powder reacted with the move and exploded!
¡{1} ha sido dañado por el polvo!;¡{1} ha sido dañado por el polvo!;{1} was damaged by the powder!
¡El diluvio impide todos los ataques de tipo Fuego!;¡El diluvio impide todos los ataques de tipo Fuego!;The heavy rain prevents Fire-type attacks!
¡El sol brilla con tanta intensidad que el agua se evapora, lo que afecta a los movimientos de tipo Agua!;¡El sol brilla con tanta intensidad que el agua se evapora, lo que afecta a los movimientos de tipo Agua!;The sun shines too brightly and water evaporates, preventing Water-type attacks!
Pero no había objetivo...;Pero no había objetivo...;But there was no target...
¡{1} ha cambiado a tipo {2}!;¡{1} ha cambiado a tipo {2}!;{1} changed to {2} type!
¡Golpeó una vez!;¡Golpeó una vez!;Hit once!
N.º de golpes: {1}.;N.º de golpes: {1}.;Number of hits: {1}.
¡Capa Mágica hizo rebotar {2} de {1}!;¡Capa Mágica hizo rebotar {2} de {1}!;Magic Coat bounced {2} from {1}!
¡{1} continuó la danza con {2}!;¡{1} continuó la danza con {2}!;{1} continued the dance with {2}!
¡{1} refuerza el poder de {2}!;¡{1} refuerza el poder de {2}!;{1} strengthens the power of {2}!
¡{1} redujo el daño de {2}!;¡{1} redujo el daño de {2}!;{1} reduced the damage of {2}!
¡{1} recibió el ataque!;¡{1} recibió el ataque!;{1} received the attack!
¡{1} recibió el ataque con su {2}!;¡{1} recibió el ataque con su {2}!;{1} received the attack with {2}!
¡{1} ha evitado el ataque a tienpo con tu orden!;¡{1} ha evitado el ataque a tienpo con tu orden!;{1} avoided the attack just in time with your command!
¡El ataque de {1} ha fallado!;¡El ataque de {1} ha fallado!;{1}'s attack missed!
¡{1} ha cambiado de forma!;¡{1} ha cambiado de forma!;{1} has changed form!
¡{1} se ha transformado!;¡{1} se ha transformado!;{1} has transformed!
¡{1} se ha transformado en {2}!;¡{1} se ha transformado en {2}!;{1} transformed into {2}!
¡{1} activado!;¡{1} activado!;{1} activated!
¡{1} desactivado!;¡{1} desactivado!;{1} deactivated!
¡{1} ha formado un banco!;¡{1} ha formado un banco!;{1} formed a school!
¡El banco de {1} se ha dispersado!;¡El banco de {1} se ha dispersado!;{1}'s school has scattered!
¡Sientes la presencia de muchos!;¡Sientes la presencia de muchos!;You feel the presence of many!
¡{1} se ha transformado en su Forma Completa!;¡{1} se ha transformado en su Forma Completa!;{1} has transformed into its Complete Forme!
¡{1} sigue el mandato de {2} y repite su último movimiento!;¡{1} sigue el mandato de {2} y repite su último movimiento!;{1} follows {2}'s command and repeats its last move!
¡{1} se protegió!;¡{1} se protegió!;{1} protected itself!
¡{1} cambió a Forma Filo!;¡{1} cambió a Forma Filo!;{1} changed to Blade Form!
¡{1} cambió a Forma Escudo!;¡{1} cambió a Forma Escudo!;{1} changed to Shield Form!
¡{1} permanece despierto!;¡{1} permanece despierto!;{1} remains awake!
¡{1} no puede ser envenenado!;¡{1} no puede ser envenenado!;{1} cannot be poisoned!
¡{1} no puede ser quemado!;¡{1} no puede ser quemado!;{1} cannot be burned!
¡{1} no puede ser paralizado!;¡{1} no puede ser paralizado!;{1} cannot be paralyzed!
¡{1} no puede ser congelado!;¡{1} no puede ser congelado!;{1} cannot be frozen!
¡{1} permanece despierto por la habilidad {3} de {2}!;¡{1} permanece despierto por la habilidad {3} de {2}!;{1} remains awake thanks to {3} of {2}!
¡{1} no puede ser envenenado por la habilidad {3} de {2}!;¡{1} no puede ser envenenado por la habilidad {3} de {2}!;{1} cannot be poisoned thanks to {3} of {2}!
¡{1} no puede ser quemado por la habilidad {3} de {2}!;¡{1} no puede ser quemado por la habilidad {3} de {2}!;{1} cannot be burned thanks to {3} of {2}!
¡{1} no puede ser paralizado por la habilidad {3} de {2}!;¡{1} no puede ser paralizado por la habilidad {3} de {2}!;{1} cannot be paralyzed thanks to {3} of {2}!
¡{1} no puede ser congelado debido a {2} de {3}!;¡{1} no puede ser congelado debido a {2} de {3}!;{1} cannot be frozen due to {2} of {3}!
¡La habilidad {1} de {2} previene envenenamiento!;¡La habilidad {1} de {2} previene envenenamiento!;{2} of {1} prevents poisoning!
¡La habilidad {1} de {2} previene quemaduras!;¡La habilidad {1} de {2} previene quemaduras!;{2} of {1} prevents burns!
¡La habilidad {1} de {2} previene paralisis!;¡La habilidad {1} de {2} previene paralisis!;{2} of {1} prevents paralysis!
¡La habilidad {1} de {2} previene congelación!;¡La habilidad {1} de {2} previene congelación!;{2} of {1} prevents freezing!
¡{1} ha usado {2}!;¡{1} ha usado {2}!;{1} used {2}!
¡{1} no puede usar {2}!;¡{1} no puede usar {2}!;{1} can't use {2}!
¡Pero al movimiento no le quedan PP!;¡Pero al movimiento no le quedan PP!;But the move has no PP left!
¡Pero ha fallado!;¡Pero ha fallado!;But it failed!
¡{1} se aferró!;¡{1} se aferró!;{1} held on!
¡{1} se aferró con {2}!;¡{1} se aferró con {2}!;{1} held on with {2}!
¡{1} se aferró con sus raíces!;¡{1} se aferró con sus raíces!;{1} held on with its roots!
¡{1} atenazó a {2}!;¡{1} atenazó a {2}!;{1} trapped {2}!
¡Lluvia Ígnea atrapó a {1}!;¡Lluvia Ígnea atrapó a {1}!;Fire Trap trapped {1}!
¡Bucle Arena atrapó a {1}!;¡Bucle Arena atrapó a {1}!;Sand Tomb trapped {1}!
¡Ningún Pokemon puede huir!!;¡Ningún Pokemon puede huir!!;No Pokémon can escape!
Nadie podrá huir durante el próximo turno;Nadie podrá huir durante el próximo turno;Nobody will be able to escape during the next turn
¡{1} preparó una trampa!;¡{1} preparó una trampa!;{1} prepared a trap!
¡La trampa de {1} no funcionó!;¡La trampa de {1} no funcionó!;{1}'s trap didn't work!
¡{1} alteró las dimensiones!;¡{1} alteró las dimensiones!;{1} altered the dimensions!
¡{1} es víctima de un Tormento!;¡{1} es víctima de un Tormento!;{1} is tormented!
¡{1} sufrió los efectos de Otra Vez!;¡{1} sufrió los efectos de Otra Vez!;{1} suffered the effects of Again!
¡{1} se dejó engañar por Mofa!;¡{1} se dejó engañar por Mofa!;{1} was fooled by Taunt!
¡{1} selló movimientos del oponente!;¡{1} selló movimientos del oponente!;{1} sealed the opponent's moves!
¡{1} se está preparando para contar una broma que te dejará frío!;¡{1} se está preparando para contar una broma que te dejará frío!;{1} is preparing a joke that will leave you cold!
{1} volvió con {2}!;{1} volvió con {2}!;{1} went back to {2}!
¡{1} ya está detrás de un sustituto!;¡{1} ya está detrás de un sustituto!;{1} is already behind a substitute!
¡{1} mudó su cola para crear un señuelo!;¡{1} mudó su cola para crear un señuelo!;{1} shed its tail to create a decoy!
¡{1} ha comenzado a acumular energía!;¡{1} ha comenzado a acumular energía!;{1} has begun charging energy!
¡{1} es ahora más ligero!;¡{1} es ahora más ligero!;{1} is now lighter!
¡{1} se está preparando para luchar!;¡{1} se está preparando para luchar!;{1} is preparing to fight!
Las estadísticas de {1} no pueden alterarse más!;Las estadísticas de {1} no pueden alterarse más!;{1}'s stats can't be changed anymore!
Las estadísticas de {1} no pueden aumentar más!;Las estadísticas de {1} no pueden aumentar más!;{1}'s stats can't be increased anymore!
¡{1} se ha vuelto débil ante el fuego!;¡{1} se ha vuelto débil ante el fuego!;{1} became weak to fire!
Las púas lanzadas a {1} han desaparecido.;Las púas lanzadas a {1} han desaparecido.;The spikes launched at {1} have disappeared.
¡{1} ha intercambiado los cambios de características con el objetivo!;¡{1} ha intercambiado los cambios de características con el objetivo!;{1} swapped stat changes with the target!
¡{1} ha copiado los cambios en las características de {2}!;¡{1} ha copiado los cambios en las características de {2}!;{1} copied {2}'s stat changes!
¡{1} se ha apropiado de las mejoras en las características del rival!;¡{1} se ha apropiado de las mejoras en las características del rival!;{1} stole the opponent's stat boosts!
¡{1} ha revertido los cambios en las características del rival!;¡{1} ha revertido los cambios en las características del rival!;{1} reversed the opponent's stat changes!
¡Las características de {1} han vuelto a sus valores originales!;¡Las características de {1} han vuelto a sus valores originales!;{1}'s stats have returned to their original values!
¡Se han eliminado todos los cambios en las características!;¡Se han eliminado todos los cambios en las características!;All stat changes have been eliminated!
¡{1} cambió su Ataque y Defensa!;¡{1} cambió su Ataque y Defensa!;{1} changed its Attack and Defense!
¡Viento Afín sopla a favor de {1}!;¡Viento Afín sopla a favor de {1}!;Affinity Wind is blowing in favor of {1}!
¡Al ser alcanzado por viento afín, {1}, cargó energía!;¡Al ser alcanzado por viento afín, {1}, cargó energía!;{1} charged energy when hit by affinity wind!
¡Pero falló!;¡Pero falló!;But it failed!
¡Las estadísticas de {1} no pueden cambiar más!;¡Las estadísticas de {1} no pueden cambiar más!;Stats can't be changed anymore!
¡Las púas de acero han desaparecido del bando de {1}!;¡Las púas de acero han desaparecido del bando de {1}!;The steel spikes have disappeared from {1}'s side!
¡Las púas puntiagudas han desaparecido del bando de {1}!;¡Las púas puntiagudas han desaparecido del bando de {1}!;The pointed spikes have disappeared from {1}'s side!
¡Las púas venenosas han desaparecido del bando de {1}!;¡Las púas venenosas han desaparecido del bando de {1}!;The poison spikes have disappeared from {1}'s side!
¡{1} absorbió electricidad!;¡{1} absorbió electricidad!;{1} absorbed electricity!
¡{1} ya está preparado!;¡{1} ya está preparado!;{1} is already ready!
¡{1} se transformó!;¡{1} se transformó!;{1} transformed!
{1} adormeció al {2}!;{1} adormeció al {2}!;{1} put {2} to sleep!
{1} se despertó.;{1} se despertó.;{1} woke up.
{1} fue curado de la parálisis.;{1} fue curado de la parálisis.;{1} was cured of paralysis.
{1} se descongeló.;{1} se descongeló.;{1} unfroze.
¡Un balsámico aroma impregnó la zona!;¡Un balsámico aroma impregnó la zona!;A balsamic aroma filled the area!
¡{1} se protegió con Velo Sagrado!;¡{1} se protegió con Velo Sagrado!;{1} is protected by Safeguard!
¡La habilidad de {1} está protegida por los efectos del Escudo Habilidad!;¡La habilidad de {1} está protegida por los efectos del Escudo Habilidad!;{1}'s ability is protected by Ability Shield effects!
¡El {1} adquirió {2}!;¡El {1} adquirió {2}!;{1} acquired {2}!
¡{1} ha fallado y se ha caído al suelo!;¡{1} ha fallado y se ha caído al suelo!;{1} failed and fell to the ground!
¡{1} se liberó de {2} de {3}!;¡{1} se liberó de {2} de {3}!;{1} freed itself from {2}'s {3}!
¡{1} se curó de la drenadoras!;¡{1} se curó de la drenadoras!;{1} was cured of infestation!
¡{1} eliminó las púas metalicas!;¡{1} eliminó las púas metalicas!;{1} removed the metal spikes!
¡Se espacieron púas alrededor de {1}!;¡Se espacieron púas alrededor de {1}!;Spikes were scattered around {1}!
{1} asestó un golpe crítico para impresionarte!;{1} asestó un golpe crítico para impresionarte!;{1} landed a critical hit to impress you!
¡{1} recibió un golpe crítico!;¡{1} recibió un golpe crítico!;{1} received a critical hit!
¡Un golpe crítico!;¡Un golpe crítico!;A critical hit!
¡El sustituto de {1} cayó!;¡El sustituto de {1} cayó!;{1}'s substitute fainted!
¡El disfraz ha actuado como señuelo!;¡El disfraz ha actuado como señuelo!;The disguise acted as a decoy!
¡El disfraz de {1} ha actuado como señuelo!;¡El disfraz de {1} ha actuado como señuelo!;{1}'s disguise acted as a decoy!
¡{1} aguantó con Robustez!;¡{1} aguantó con Robustez!;{1} endured with Sturdy!
¡{1} ha quedado envuelto en una luz fría!;¡{1} ha quedado envuelto en una luz fría!;{1} is wrapped in cold light!
¡{1} ha quedado envuelto en aire gélido!;¡{1} ha quedado envuelto en aire gélido!;{1} is wrapped in freezing air!
¡{1} está rodeado de una luz brillante!;¡{1} está rodeado de una luz brillante!;{1} is surrounded by bright light!
¡Los stats de {1} no pueden aumentar más!;¡Los stats de {1} no pueden aumentar más!;{1}'s stats cannot increase anymore!
¡{1} está acumulando energía!;¡{1} está acumulando energía!;{1} is charging energy!
¡{1} rebosa energía cósmica!;¡{1} rebosa energía cósmica!;{1} is overflowing with cosmic energy!
¡{1} enemigo se ha liberado de Caída Libre!;¡{1} enemigo se ha liberado de Caída Libre!;{1} freed itself from Free Fall!
¡{1} se confundió debido a la fatiga!;¡{1} se confundió debido a la fatiga!;{1} got confused due to fatigue!
¡{1} liberó energía!;¡{1} liberó energía!;{1} released energy!
¡{1} se ha convertido en el centro de atención!;¡{1} se ha convertido en el centro de atención!;{1} became the center of attention!
¡{1} está cubierto de polvo!;¡{1} está cubierto de polvo!;{1} is covered in dust!
¡{1} está listo para ayudar a {2}!;¡{1} está listo para ayudar a {2}!;{1} is ready to help {2}!
¡{1} no puede reservar más!;¡{1} no puede reservar más!;{1} cannot reserve more!
¡{1} se convirtió en {2}!;¡{1} se convirtió en {2}!;{1} transformed into {2}!
¡{1} se cubrió con Capa Mágica!;¡{1} se cubrió con Capa Mágica!;{1} is covered by Magic Coat!
¡{1} espera a que su rival haga algún movimiento!;¡{1} espera a que su rival haga algún movimiento!;{1} is waiting for its opponent to make a move!
¡{1} también se ha hecho daño!;¡{1} también se ha hecho daño!;{1} also took damage!
¡{1} ya está listo gracias a la hierba única!;¡{1} ya está listo gracias a la hierba única!;{1} is already ready thanks to the unique grass!
¡{1} está preparándose para atacar!;¡{1} está preparándose para atacar!;{1} is preparing to attack!
¡Los PS de {1} están al máximo!;¡Los PS de {1} están al máximo!;{1}'s HP is already full!
¡{1} se está protegiendo!;¡{1} se está protegiendo!;{1} is protecting itself!
¡El calor abrasador se mantiene sin perder un ápice de intensidad!;¡El calor abrasador se mantiene sin perder un ápice de intensidad!;The scorching heat remains without losing any intensity!
¡Las misteriosas turbulencias continúan sin cesar!;¡Las misteriosas turbulencias continúan sin cesar!;The mysterious turbulence continues without ceasing!
¡{1} robó {2} a {3}! ¡El objeto está en la mochila!;¡{1} robó {2} a {3}! ¡El objeto está en la mochila!;{1} stole {2} from {3}! The item is in the bag!
¡{1} robó {2} a {3}!;¡{1} robó {2} a {3}!;{1} stole {2} from {3}!
¡{1} cambió objetos con su oponente!;¡{1} cambió objetos con su oponente!;{1} swapped items with its opponent!
¡{1} encontró un {2}!;¡{1} encontró un {2}!;{1} found a {2}!
¡{1} dejó caer su {2}!;¡{1} dejó caer su {2}!;{1} dropped its {2}!
¡{1} consumió su {2}!;¡{1} consumió su {2}!;{1} consumed its {2}!
¡Pero no ocurrió nada!;¡Pero no ocurrió nada!;But nothing happened!
¡Es hora del té! A comer bayas se ha dicho.;¡Es hora del té! A comer bayas se ha dicho.;It's teatime! Time to eat berries!
¡{1} robó y se comió la {2} de su objetivo!;¡{1} robó y se comió la {2} de su objetivo!;{1} stole and ate its target's {2}!
¡{1} tiró su {2}!;¡{1} tiró su {2}!;{1} threw its {2}!
¡{1} se prepara para que el siguiente golpe sea crítico!;¡{1} se prepara para que el siguiente golpe sea crítico!;{1} is preparing for the next hit to be critical!
¡Conjuro protege a {1} de golpes críticos!;¡Conjuro protege a {1} de golpes críticos!;Warding Critical protects {1} from critical hits!
¡Se han debilitado los ataques de tipo Eléctrico!;¡Se han debilitado los ataques de tipo Eléctrico!;Electric type moves have been weakened!
¡{1} ha aumentado la resistencia de {2} ante los ataques físicos!;¡{1} ha aumentado la resistencia de {2} ante los ataques físicos!;{1} increased {2}'s resistance to physical attacks!
¡Truco defensa protegió a {1}!;¡Truco defensa protegió a {1}!;Defense Trick protected {1}!
Sin embargo, {1} no ha podido ponerlo en práctica!;Sin embargo, {1} no ha podido ponerlo en práctica!;However, {1} could not put it into practice!
¡Pero {1} no ha podido ponerlo en práctica en su forma actual!;¡Pero {1} no ha podido ponerlo en práctica en su forma actual!;But {1} could not put it into practice in its current form!
{1} apuntó a {2}!;{1} apuntó a {2}!;{1} targeted {2}!
{1} se transformó al tipo {2}!;{1} se transformó al tipo {2}!;{1} transformed to {2} type!
¡Electrificación hace que el siguiente movimiento de {1} sea de tipo Electrico!;¡Electrificación hace que el siguiente movimiento de {1} sea de tipo Electrico!;Electrification makes {1}'s next move Electric type!
¡{1} enemigo ha absorbido el lodo líquido!;¡{1} enemigo ha absorbido el lodo líquido!;{1} absorbed the liquid ooze!
¡{1} se rodeó de un manto de agua!;¡{1} se rodeó de un manto de agua!;{1} surrounded itself with a water mantle!
!{1} echó raices!;!{1} echó raices!;{1} put down roots!
¡{1} empezó a tener pesadillas!;¡{1} empezó a tener pesadillas!;{1} started having nightmares!
¡{1} esquivó el ataque!;¡{1} esquivó el ataque!;{1} dodged the attack!
¡{1} se ha dañado por el retroceso!;¡{1} se ha dañado por el retroceso!;{1} was damaged by recoil!
¡Los pokémon que oigan la canción se debilitarán en 3 turnos!;¡Los pokémon que oigan la canción se debilitarán en 3 turnos!;Pokémon who hear the song will weaken in 3 turns!
¡Pero no tuvo ningún efecto!;¡Pero no tuvo ningún efecto!;But it had no effect!
¡{1} está reforzando su concentración!;¡{1} está reforzando su concentración!;{1} is focusing its concentration!
¡{1} perdió la concentración y no pudo atacar!;¡{1} perdió la concentración y no pudo atacar!;{1} lost concentration and couldn't attack!
¡Está demasiado débil para crear un sustituto!;¡Está demasiado débil para crear un sustituto!;It's too weak to create a substitute!
¡{1} ha sido alcanzado por Premonición!;¡{1} ha sido alcanzado por Premonición!;{1} was hit by Fore Sight!
¡{1} sufre de salazón!;¡{1} sufre de salazón!;{1} is suffering from salt cure!
¡La habilidad de {1} está protegida por los efectos de su Escudo Habilidad!;¡La habilidad de {1} está protegida por los efectos de su Escudo Habilidad!;{1}'s ability is protected by its Ability Shield effects!
¡Hay púas esparcidas alrededor de los pies de {1}!;¡Hay púas esparcidas alrededor de los pies de {1}!;There are spikes scattered around {1}'s feet!
PS Máx.;PS Máx.;Max HP
de;de;of
No se pueden capturar más Pokémon...;No se pueden capturar más Pokémon...;No more Pokémon can be caught...
¡Pero {1} no se ha podido dormir!;¡Pero {1} no se ha podido dormir!;But {1} couldn't fall asleep!
¡El equipo de {1} ha sido descalificado!;¡El equipo de {1} ha sido descalificado!;{1}'s team has been disqualified!
Ver los datos de {1};Ver los datos de {1};View {1}'s data
Comprobar equipo;Comprobar equipo;Check party
¿Qué quieres hacer con {1}?;¿Qué quieres hacer con {1}?;What would you like to do with {1}?
Elige un Pokémon de tu equipo para reemplazarlo.;Elige un Pokémon de tu equipo para reemplazarlo.;Choose a Pokémon from your party to replace it.
"Has enviado a {1} a la Caja \""{2}\"".";"Has enviado a {1} a la Caja \""{2}\"".";"You sent {1} to Box \""{2}\""."
{1} se ha añadido a tu equipo.;{1} se ha añadido a tu equipo.;{1} was added to your party.
"¡{1} se ha enviado a la Caja \""{2}\""!";"¡{1} se ha enviado a la Caja \""{2}\""!";"{1} was sent to Box \""{2}\""!"
¡{1} lanzó un {2}!;¡{1} lanzó un {2}!;{1} threw a {2}!
